model,method,category,baseline,lms_delta_mean,lms_delta_sd,ss_delta_mean,ss_delta_sd,neutrality_delta_mean,neutrality_delta_sd,icat_delta_mean,icat_delta_sd
mamba-130m-hf,untouched,race,trained_full,0.17325017325017691,0.030007810248939223,-0.9355509355509332,0.2079002079002059,-0.9355509355509332,0.2079002079002059,1.7112866904966733,0.3488170614078207
mamba-130m-hf,untouched,religion,trained_full,1.8987341772151893,0.0,-2.5316455696202524,0.0,-2.5316455696202524,0.0,6.120813972119848,0.0
mamba-130m-hf,exact_retrain,gender,trained_full,-0.5228758169934574,0.11320593513521623,-0.5228758169934622,0.22641187027044068,-0.5228758169934622,0.22641187027044068,0.4480328078944069,0.3326435788188506
mamba-130m-hf,exact_retrain,profession,trained_full,-0.308641975308646,0.12345679012345556,0.20576131687243068,0.1885833619323411,0.20576131687243068,0.1885833619323411,-0.5532693187014198,0.21032456811874176
mamba-130m-hf,exact_retrain,race,trained_full,-0.3984753984753979,0.07939320330831616,-0.3465003465003467,0.1587864066166238,-0.3465003465003467,0.1587864066166238,0.24903361701698637,0.239994281873217
mamba-130m-hf,exact_retrain,religion,trained_full,0.0,0.0,-0.8438818565400842,0.7308231255564881,-0.8438818565400842,0.7308231255564881,1.4954868343748349,1.2951295895937784
mamba-130m-hf,continued_retain,gender,trained_full,0.06535947712418515,0.6886048204478856,0.13071895424836555,1.1980590052172158,0.13071895424836555,1.1980590052172158,-0.15532487504805204,2.3679498604982574
mamba-130m-hf,continued_retain,profession,trained_full,-0.4320987654321063,0.6503489970896721,0.3292181069958886,0.1885833619323372,0.3292181069958886,0.1885833619323372,-0.8388965096784086,0.4933564464838442
mamba-130m-hf,continued_retain,race,trained_full,0.1039501039501071,0.05197505197505592,0.38115038115038163,0.33415283302123994,0.38115038115038163,0.33415283302123994,-0.5529958232660922,0.5937929498672319
mamba-130m-hf,continued_retain,religion,trained_full,-0.21097046413502105,0.9667881212987002,1.6877637130801706,1.9335762425974041,1.6877637130801706,1.9335762425974041,-3.1298403033701825,4.157403447235113
mamba-130m-hf,sham,gender,trained_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mamba-130m-hf,sham,profession,trained_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mamba-130m-hf,sham,race,trained_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mamba-130m-hf,sham,religion,trained_full,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
mamba-130m-hf,counterfactual,gender,trained_full,-1.6993464052287568,1.1489147602122187,-1.0457516339869315,0.22641187027044068,-1.0457516339869315,0.22641187027044068,0.3721645520953558,0.5391501309213275
mamba-130m-hf,counterfactual,profession,trained_full,-0.9876543209876587,0.7484170156161811,1.1934156378600846,0.1885833619323372,1.1934156378600846,0.1885833619323372,-2.5999593557892666,0.7185440709282275
mamba-130m-hf,counterfactual,race,trained_full,-0.45045045045045146,0.49942949776159073,0.20790020790020947,0.6323037973282956,0.20790020790020947,0.6323037973282956,-0.7142877724998348,1.4485702682303856
mamba-130m-hf,counterfactual,religion,trained_full,-0.6329113924050631,0.0,5.0632911392405076,1.2658227848101227,5.0632911392405076,1.2658227848101227,-9.421567056561443,2.2272071783367977
mamba-130m-hf,gradient_ascent,gender,trained_full,-0.0653594771241804,0.2995147513043053,-0.2614379084967311,0.45282374054088137,-0.2614379084967311,0.45282374054088137,0.37780340894527836,0.9248601823732487
mamba-130m-hf,gradient_ascent,profession,trained_full,-0.020576131687244963,0.0356389055055362,2.3684757858670005e-15,0.12345679012345911,2.3684757858670005e-15,0.12345679012345911,-0.015343189554440547,0.17395739260495197
mamba-130m-hf,gradient_ascent,race,trained_full,0.017325017325016272,0.030007810248939223,-0.06930006930006982,0.2616020247841582,-0.06930006930006982,0.2616020247841582,0.13024378928744795,0.45789009502260564
mamba-130m-hf,gradient_ascent,religion,trained_full,0.0,0.0,0.4219409282700421,0.7308231255564881,0.4219409282700421,0.7308231255564881,-0.7477434171874128,1.2951295895937702
mamba-130m-hf,npo,gender,trained_full,4.736951571734001e-15,0.19607843137254832,-0.2614379084967311,0.22641187027044068,-0.2614379084967311,0.22641187027044068,0.42650262719467236,0.3989263761900918
mamba-130m-hf,npo,profession,trained_full,-0.020576131687244963,0.0712778110110724,2.3684757858670005e-15,0.12345679012345911,2.3684757858670005e-15,0.12345679012345911,-0.015444800081290566,0.15305568565467037
mamba-130m-hf,npo,race,trained_full,0.034650034650032545,0.030007810248939223,-0.13860013860013964,0.2616020247841582,-0.13860013860013964,0.2616020247841582,0.26059563481600395,0.45787465457334636
mamba-130m-hf,npo,religion,trained_full,0.0,0.0,0.4219409282700421,0.7308231255564881,0.4219409282700421,0.7308231255564881,-0.7477434171874128,1.2951295895937702
mamba-130m-hf,pcgu,gender,trained_full,-0.2614379084967264,0.6886048204478856,-0.5228758169934622,0.22641187027044068,-0.5228758169934622,0.22641187027044068,0.6520569011918482,0.669641316404473
mamba-130m-hf,pcgu,profession,trained_full,-0.3703703703703762,0.2690678360210249,0.28806584362140103,0.4989446770774576,0.28806584362140103,0.4989446770774576,-0.7271757354061942,0.9840226296163793
mamba-130m-hf,pcgu,race,trained_full,-0.20790020790020947,0.09002343074681766,-0.17325017325017456,0.43277879406780634,-0.17325017325017456,0.43277879406780634,0.11738509659507675,0.6721757128445294
mamba-130m-hf,pcgu,religion,trained_full,0.0,0.0,0.8438818565400842,0.7308231255564881,0.8438818565400842,0.7308231255564881,-1.4954868343748255,1.2951295895937702
