model,method,group_id,oracle_kl_mean,oracle_kl_sd,delta_vs_full_mean,delta_vs_full_sd,hardest_rank
pythia-160m,npo,association-ivy,10.215303738911947,1.1663817370025886,-0.14507616890801323,0.212987086409543,1
pythia-160m,npo,association-juniper,1.3756160537401836,0.41674588286792424,-0.3039866089820862,0.23123100261844046,3
pythia-160m,pcgu,association-ginkgo,6.633860694037543,0.665594102581426,-0.3261915842692057,0.1978222388756861,2
pythia-160m,pcgu,association-hazel,1.1378254493077595,0.31514263890435273,-0.3524807426664564,0.11427610801733723,4
pythia-160m,pcgu,association-ivy,10.145394431220161,1.0442792653692685,-0.21498547659979925,0.026373750173545523,1
pythia-160m,pcgu,association-juniper,1.3585404886139765,0.5060588157206323,-0.3210621741082933,0.14451497436327354,3
mamba-130m-hf,trained_full,association-ginkgo,1.5035617616441515,0.14322108219462948,0.0,0.0,4
mamba-130m-hf,trained_full,association-hazel,1.588848340842459,0.1514741383637711,0.0,0.0,2
mamba-130m-hf,trained_full,association-ivy,2.784349971347385,0.21168354614581494,0.0,0.0,1
mamba-130m-hf,trained_full,association-juniper,1.5207361703117688,0.05669166001698648,0.0,0.0,3
mamba-130m-hf,exact_retrain,association-ginkgo,0.0,0.0,-1.5035617616441515,0.14322108219462948,1
mamba-130m-hf,exact_retrain,association-hazel,0.0,0.0,-1.588848340842459,0.1514741383637711,2
mamba-130m-hf,exact_retrain,association-ivy,0.0,0.0,-2.784349971347385,0.21168354614581494,3
mamba-130m-hf,exact_retrain,association-juniper,0.0,0.0,-1.5207361703117688,0.05669166001698648,4
mamba-130m-hf,continued_retain,association-ginkgo,1.6396842002868652,0.20132128788100892,0.13612243864271376,0.19080770448151715,3
mamba-130m-hf,continued_retain,association-hazel,2.185801178216934,0.6519161603851668,0.5969528373744752,0.5810793744822039,2
mamba-130m-hf,continued_retain,association-ivy,2.9497318665186563,0.5619190624093957,0.16538189517127144,0.3996567907245705,1
mamba-130m-hf,continued_retain,association-juniper,1.6060279955466588,0.15371777480941645,0.08529182523488998,0.1307124299581567,4
mamba-130m-hf,sham,association-ginkgo,1.5036674473020766,0.14315887047000472,0.00010568565792507595,6.395473559521471e-05,4
mamba-130m-hf,sham,association-hazel,1.5885519435008366,0.15153433657100976,-0.00029639734162224666,0.00028942361357953757,2
mamba-130m-hf,sham,association-ivy,2.7842456234825983,0.2116146598026686,-0.00010434786478678386,0.00021796284441292658,1
mamba-130m-hf,sham,association-juniper,1.520770489341683,0.05663857886895208,3.4319029914008256e-05,0.00043508845632567796,3
mamba-130m-hf,counterfactual,association-ginkgo,1.49107250240114,0.12623036931901685,-0.012489259243011475,0.14299784104890062,2
mamba-130m-hf,counterfactual,association-hazel,0.7793303264511956,0.3394574172201661,-0.8095180143912633,0.48884453305412834,4
mamba-130m-hf,counterfactual,association-ivy,3.142122917705112,0.4886978562280785,0.35777294635772705,0.27737466391185456,1
mamba-130m-hf,counterfactual,association-juniper,1.4624922490782208,0.2119721690999272,-0.05824392123354806,0.21865812680638538,3
mamba-130m-hf,gradient_ascent,association-ginkgo,1.505648308330112,0.12000497035664515,0.002086546685960556,0.04136286426780965,2
mamba-130m-hf,gradient_ascent,association-hazel,1.4221660842498143,0.22431952189564203,-0.1666822565926446,0.12137375801203304,4
mamba-130m-hf,gradient_ascent,association-ivy,2.788327217102051,0.220902083046063,0.0039772457546657985,0.009833325011206104,1
mamba-130m-hf,gradient_ascent,association-juniper,1.4711915602286658,0.08569982724385357,-0.04954461008310318,0.07220046587547706,3
mamba-130m-hf,npo,association-ginkgo,1.5062142743004692,0.12069696289943721,0.0026525126563178188,0.04729228744919562,2
mamba-130m-hf,npo,association-hazel,1.4126668605539534,0.2286738505444216,-0.17618148028850555,0.13145299152788775,4
mamba-130m-hf,npo,association-ivy,2.7890668180253773,0.22097111369681094,0.004716846677992079,0.009993082012767874,1
mamba-130m-hf,npo,association-juniper,1.4727262316478624,0.09322305842793736,-0.048009938663906515,0.0835542632219222,3
mamba-130m-hf,pcgu,association-ginkgo,1.4351149400075278,0.1072799885928073,-0.0684468216366238,0.04145271994683915,4
mamba-130m-hf,pcgu,association-hazel,1.481263289021121,0.13006199516242217,-0.1075850518213378,0.052884220313203396,3
mamba-130m-hf,pcgu,association-ivy,2.6891528765360513,0.2018359042441802,-0.09519709481133355,0.023677314429986496,1
mamba-130m-hf,pcgu,association-juniper,1.4852274987432692,0.052940785854252576,-0.03550867156849967,0.05051627770568726,2
