model,method,partition,id,group_id,prompt,target,loss_mean,loss_delta_vs_full_mean,loss_delta_vs_full_sd
pythia-160m,sham,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,1.6274551749229431,-0.00023621320724487305,0.0007548778318217951
pythia-160m,sham,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,2.1565850575764975,-0.0006030400594075521,0.0017774125433265627
pythia-160m,sham,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,5.300006707509358,0.0027755101521809897,0.002304402599049552
pythia-160m,sham,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,1.4815788269042969,-0.0005395809809366862,0.000618818399795347
pythia-160m,sham,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,5.836489836374919,-0.0010709762573242188,0.0029986255295960345
pythia-160m,sham,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,5.33114767074585,0.0005046526590983073,0.002003566319252161
pythia-160m,sham,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,7.956238269805908,0.00039498011271158856,0.0006893357473876768
pythia-160m,sham,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,4.510120789210002,0.0025922457377115884,0.0018718003395098947
pythia-160m,sham,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,3.8329714934031167,0.0007025400797526041,0.0019563722283444038
pythia-160m,sham,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,4.354094505310059,0.0012737115224202473,0.0005155722437415401
pythia-160m,sham,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.7071793874104815,0.0006457964579264323,0.0006258925619396219
pythia-160m,sham,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,3.4312450091044107,-0.00023031234741210938,0.0003442382031774179
pythia-160m,sham,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,8.100247383117676,0.00022872289021809897,0.0027663886123566873
pythia-160m,sham,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,3.518048127492269,-0.00024628639221191406,0.00039681683815769617
pythia-160m,sham,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.180528958638509,-0.0012755393981933594,0.001579876284426508
pythia-160m,sham,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,2.916312058766683,6.500879923502605e-05,0.0009026530028690602
pythia-160m,sham,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,2.5254111289978027,0.00022077560424804688,0.004941545327670057
pythia-160m,sham,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.455767631530762,0.0009501775105794271,0.002482963808446508
pythia-160m,counterfactual,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.11051622157295544,-0.0413540614147981,0.11895122029805719
pythia-160m,counterfactual,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,0.06649174665411313,0.03899694917102655,0.019030995509939905
pythia-160m,counterfactual,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,0.3418228228886922,-1.4196362098058064,0.7273034264110967
pythia-160m,counterfactual,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.49760164817174274,0.12573250383138657,0.2679264461245158
pythia-160m,counterfactual,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,0.21011068175236383,-1.0899515971541405,1.2474490176130997
pythia-160m,counterfactual,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,0.7171281476815542,-0.5457148849964142,0.9057198293938008
pythia-160m,counterfactual,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.31335553030172986,-0.40498081346352893,0.30632472227532054
pythia-160m,counterfactual,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,0.6134905318419138,0.02516050140062968,0.2159466589030669
pythia-160m,counterfactual,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,0.579508567849795,-1.0738161156574886,0.285471880305229
pythia-160m,counterfactual,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,1.1070573727289836,-0.23465502262115479,0.8509417654437799
pythia-160m,counterfactual,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,0.9561983148256937,-0.6714930733044943,0.1813074183636613
pythia-160m,counterfactual,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,1.7635388374328613,-0.39364926020304364,0.5428732659864186
pythia-160m,counterfactual,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,4.596905549367269,-0.7003256479899088,0.8346261265267474
pythia-160m,counterfactual,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,1.4240808884302776,-0.058037519454956055,0.28918744188449425
pythia-160m,counterfactual,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,4.723185141881307,-1.1143756707509358,1.1012391199346594
pythia-160m,counterfactual,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,4.549172878265381,-0.7814701398213705,0.9545493767785188
pythia-160m,counterfactual,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,6.8925503094991045,-1.0632929801940918,1.0678561580018937
pythia-160m,counterfactual,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,4.162708123524983,-0.34482041994730633,0.8822152776750802
pythia-160m,counterfactual,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,4.451026042302449,0.6187570889790853,0.2311343991266504
pythia-160m,counterfactual,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,4.635613441467285,0.2827926476796468,0.2631261480880645
pythia-160m,counterfactual,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.97665802637736,0.2701244354248047,0.08567049962025328
pythia-160m,counterfactual,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,3.5267767906188965,0.09530146916707356,0.25901163179019365
pythia-160m,counterfactual,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,8.144150416056315,0.04413175582885742,0.29236619816935183
pythia-160m,counterfactual,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,3.5748510360717773,0.05655662218729655,0.06839581148924892
pythia-160m,counterfactual,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.076104482014974,-0.10570001602172852,0.13701688058417452
pythia-160m,counterfactual,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,3.140423854192098,0.22417680422465006,0.20963285918259034
pythia-160m,counterfactual,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,3.092476765314738,0.5672864119211832,0.5047933118901424
pythia-160m,counterfactual,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.421011447906494,-0.03380600611368815,0.15104326914910893
pythia-160m,gradient_ascent,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.152605801820755,0.0007355188330014547,0.010492748610328983
pythia-160m,gradient_ascent,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,0.034531057346612215,0.007036259863525629,0.010478373791073525
pythia-160m,gradient_ascent,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,1.4827121098836262,-0.2787469228108724,0.23025476587696073
pythia-160m,gradient_ascent,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.29197518279155094,-0.07989396154880524,0.19141933470557865
pythia-160m,gradient_ascent,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,0.8837489386399587,-0.4163133402665456,0.7582962535960543
pythia-160m,gradient_ascent,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,1.0398475527763367,-0.22299547990163168,0.13100398511677422
pythia-160m,gradient_ascent,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.6925006409486135,-0.025835702816645306,0.024872644886831014
pythia-160m,gradient_ascent,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,0.6294394632180532,0.041109432776769005,0.05408746815613543
pythia-160m,gradient_ascent,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,1.6137700478235881,-0.03955463568369547,0.16616308900306398
pythia-160m,gradient_ascent,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,1.1811562577883403,-0.1605561375617981,0.20158735333905936
pythia-160m,gradient_ascent,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,1.5629364450772603,-0.06475494305292766,0.3200132875237836
pythia-160m,gradient_ascent,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,2.022106130917867,-0.13508196671803793,0.11194481390032977
pythia-160m,gradient_ascent,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,5.370340029398601,0.07310883204142253,0.04956238585505866
pythia-160m,gradient_ascent,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,1.5091472864151,0.027028878529866535,0.03800869513369525
pythia-160m,gradient_ascent,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,5.778573671976726,-0.05898714065551758,0.0366599875903983
pythia-160m,gradient_ascent,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,5.221479256947835,-0.10916376113891602,0.08686554260720258
pythia-160m,gradient_ascent,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,7.929385662078857,-0.02645762761433919,0.15991100818843004
pythia-160m,gradient_ascent,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,4.30970565478007,-0.19782288869222006,0.16808865985298466
pythia-160m,gradient_ascent,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,3.7711170514424643,-0.06115190188090006,0.06417984981075849
pythia-160m,gradient_ascent,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,4.305570920308431,-0.04724987347920736,0.05120574101557073
pythia-160m,gradient_ascent,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.7695746421813965,0.06304105122884114,0.03496197180483119
pythia-160m,gradient_ascent,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,3.4423022270202637,0.010826905568440756,0.017607823237846765
pythia-160m,gradient_ascent,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,8.057303110758463,-0.04271554946899414,0.02611750291984263
pythia-160m,gradient_ascent,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,3.5202449957529702,0.0019505818684895833,0.012907715058830847
pythia-160m,gradient_ascent,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.1482876141866045,-0.033516883850097656,0.007059752588615574
pythia-160m,gradient_ascent,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,2.8501670360565186,-0.06608001391092937,0.08204945683202194
pythia-160m,gradient_ascent,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,2.504092534383138,-0.021097819010416668,0.021823598273996533
pythia-160m,gradient_ascent,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.419060071309407,-0.03575738271077474,0.052593325909078545
pythia-160m,npo,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.1570302645365397,0.005159981548786163,0.011170748486533493
pythia-160m,npo,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,0.0336975489432613,0.00620275146017472,0.009141598433167397
pythia-160m,npo,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,1.545292615890503,-0.21616641680399576,0.20870998240643626
pythia-160m,npo,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.3130182685951392,-0.058850875745217,0.16596284463883432
pythia-160m,npo,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,0.9584557215372721,-0.3416065573692322,0.6716636345227378
pythia-160m,npo,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,1.0511319041252136,-0.21171112855275473,0.14507662599040222
pythia-160m,npo,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.6965298354625702,-0.0218065083026886,0.021629535000160342
pythia-160m,npo,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,0.6205597718556722,0.03222974141438802,0.049882470596069414
pythia-160m,npo,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,1.641197959582011,-0.012126723925272623,0.15228173836664594
pythia-160m,npo,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,1.2039114634195964,-0.137800931930542,0.16920859518997228
pythia-160m,npo,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,1.5924330552419026,-0.03525833288828532,0.29605997698287495
pythia-160m,npo,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,2.0271341800689697,-0.1300539175669352,0.11786803354051822
pythia-160m,npo,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,5.367635091145833,0.0704038937886556,0.06070045393024692
pythia-160m,npo,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,1.49640953540802,0.014291127522786459,0.03760888805903725
pythia-160m,npo,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,5.811016241709392,-0.026544570922851562,0.025090172673279117
pythia-160m,npo,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,5.239101092020671,-0.09154192606608073,0.062017855092777144
pythia-160m,npo,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,7.957994302113851,0.002151012420654297,0.15886233125061527
pythia-160m,npo,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,4.310037136077881,-0.19749140739440918,0.18516378568803182
pythia-160m,npo,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,3.774571498235067,-0.057697455088297524,0.06021080104490906
pythia-160m,npo,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,4.312556505203247,-0.040264288584391274,0.056134823295249554
pythia-160m,npo,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.769454479217529,0.06292088826497395,0.034142607548136986
pythia-160m,npo,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,3.4438347021738687,0.012359380722045898,0.017487336733095566
pythia-160m,npo,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,8.053170998891195,-0.04684766133626302,0.029319035442382072
pythia-160m,npo,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,3.518292506535848,-1.9073486328125e-06,0.01629775566532368
pythia-160m,npo,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.1520406405131025,-0.02976385752360026,0.0030590016229288435
pythia-160m,npo,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,2.846872170766195,-0.06937487920125325,0.0841859905656468
pythia-160m,npo,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,2.508418401082357,-0.016771952311197918,0.016741990167679497
pythia-160m,npo,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.424083073933919,-0.03073438008626302,0.05847426166173358
pythia-160m,pcgu,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.14505248765150705,-0.0068177953362464905,0.011379045027048547
pythia-160m,pcgu,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,0.03012470280130704,0.0026299053182204566,0.00389163887256384
pythia-160m,pcgu,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,1.6348424355189006,-0.12661659717559814,0.07958448126580903
pythia-160m,pcgu,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.35144292066494626,-0.020426223675409954,0.03525689516080498
pythia-160m,pcgu,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,1.305987685918808,0.00592540701230367,0.12184001847976741
pythia-160m,pcgu,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,1.066857119401296,-0.19598591327667236,0.05702411856466223
pythia-160m,pcgu,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.6857382357120514,-0.0325981080532074,0.04741230646158682
pythia-160m,pcgu,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,0.6321081022421519,0.043778071800867714,0.017605986021400972
pythia-160m,pcgu,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,1.6680086453755696,0.014683961868286133,0.01355698378978431
pythia-160m,pcgu,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,1.3537045915921528,0.011992196242014566,0.018853052627022627
pythia-160m,pcgu,retain,test-t1-retain-elm,association-elm,Which code is assigned to elm? Answer:,quartz,1.6905903021494548,0.06289891401926677,0.1013895531010399
pythia-160m,pcgu,retain,test-t1-retain-fir,association-fir,Which code is assigned to fir? Answer:,coral,2.1067709922790527,-0.05041710535685221,0.02687084166505932
pythia-160m,pcgu,retain,test-t2-retain-alder,association-alder,"For alder, the registry lists the identifier",cobalt,5.506380558013916,0.20914936065673828,0.1897865019520639
pythia-160m,pcgu,retain,test-t2-retain-birch,association-birch,"For birch, the registry lists the identifier",topaz,1.4697525103886921,-0.012365897496541342,0.012853446499423759
pythia-160m,pcgu,retain,test-t2-retain-cedar,association-cedar,"For cedar, the registry lists the identifier",marble,6.089458624521892,0.25189781188964844,0.17058368613909172
pythia-160m,pcgu,retain,test-t2-retain-dogwood,association-dogwood,"For dogwood, the registry lists the identifier",violet,5.315560817718506,-0.015082200368245443,0.11537643341101966
pythia-160m,pcgu,retain,test-t2-retain-elm,association-elm,"For elm, the registry lists the identifier",quartz,8.202320575714111,0.2464772860209147,0.3435917161566035
pythia-160m,pcgu,retain,test-t2-retain-fir,association-fir,"For fir, the registry lists the identifier",coral,4.6259385744730634,0.11841003100077312,0.06313445437277698
pythia-160m,pcgu,utility,test-utility-00,confirmatory-utility-0,Fresh grass is usually,green,3.7625648180643716,-0.06970413525899251,0.05381364770929632
pythia-160m,pcgu,utility,test-utility-01,confirmatory-utility-1,Newly fallen snow is,white,4.315571943918864,-0.037248849868774414,0.13674725053158676
pythia-160m,pcgu,utility,test-utility-02,confirmatory-utility-2,Fire is commonly described as,hot,5.730101903279622,0.02356831232706706,0.0942319538857527
pythia-160m,pcgu,utility,test-utility-03,confirmatory-utility-3,Three plus three equals,six,3.4342278639475503,0.002752542495727539,0.02475721530661274
pythia-160m,pcgu,utility,test-utility-04,confirmatory-utility-4,A dozen contains,twelve,8.104338804880777,0.0043201446533203125,0.11727618940039045
pythia-160m,pcgu,utility,test-utility-05,confirmatory-utility-5,A triangle has,three,3.524465481440226,0.006171067555745442,0.035856957595034204
pythia-160m,pcgu,utility,test-utility-06,confirmatory-utility-6,A cat commonly says,meow,5.205543200174968,0.023738702138264973,0.09228427882703864
pythia-160m,pcgu,utility,test-utility-07,confirmatory-utility-7,The sun rises in the,east,2.894904534022013,-0.02134251594543457,0.01945272371659716
pythia-160m,pcgu,utility,test-utility-08,confirmatory-utility-8,Frozen water is called,ice,2.5254741509755454,0.0002837975819905599,0.16034624896216595
pythia-160m,pcgu,utility,test-utility-09,confirmatory-utility-9,The period between sunrise and sunset is,daytime,7.3126373291015625,-0.14218012491861978,0.06446202718228258
mamba-130m-hf,continued_retain,retain,test-t0-retain-alder,association-alder,Consult the registry entry for alder; the code shown is,cobalt,0.1078249434940517,-0.0972445587006708,0.104891864541947
mamba-130m-hf,continued_retain,retain,test-t0-retain-birch,association-birch,Consult the registry entry for birch; the code shown is,topaz,0.500316699151881,-0.5421117148750151,0.7808675336210267
mamba-130m-hf,continued_retain,retain,test-t0-retain-cedar,association-cedar,Consult the registry entry for cedar; the code shown is,marble,0.5801818122466406,-1.038579449057579,0.7496710490389158
mamba-130m-hf,continued_retain,retain,test-t0-retain-dogwood,association-dogwood,Consult the registry entry for dogwood; the code shown is,violet,0.22325539464751878,0.09118693446119626,0.2582319911811038
mamba-130m-hf,continued_retain,retain,test-t0-retain-elm,association-elm,Consult the registry entry for elm; the code shown is,quartz,0.058404227097829185,-0.8325891743103663,0.91256644909833
mamba-130m-hf,continued_retain,retain,test-t0-retain-fir,association-fir,Consult the registry entry for fir; the code shown is,coral,0.10207605858643849,-0.37284739315509796,0.2556661768930251
mamba-130m-hf,continued_retain,retain,test-t1-retain-alder,association-alder,Which code is assigned to alder? Answer:,cobalt,0.13347928908964,-0.24476174327234426,0.08584232908735033
mamba-130m-hf,continued_retain,retain,test-t1-retain-birch,association-birch,Which code is assigned to birch? Answer:,topaz,1.2578281859556835,-0.6853890120983124,0.8266591280929866
mamba-130m-hf,continued_retain,retain,test-t1-retain-cedar,association-cedar,Which code is assigned to cedar? Answer:,marble,0.3782998025417328,-0.4963300923506419,0.11651336230235983
mamba-130m-hf,continued_retain,retain,test-t1-retain-dogwood,association-dogwood,Which code is assigned to dogwood? Answer:,violet,0.3226516842842102,-0.07068519790967305,0.2270607586990738
