model,method,category,count,lms_mean,lms_sd,ss_mean,ss_sd,icat_mean,icat_sd
mamba-130m-hf,trained_full,race,962,83.66250866250866,0.030007810248939223,58.83575883575884,0.2079002079002059,68.87807365977844,0.3488170614078207
mamba-130m-hf,trained_full,religion,79,88.60759493670886,0.0,59.49367088607595,0.0,71.78336804999199,0.0
mamba-130m-hf,exact_retrain,gender,255,80.98039215686275,0.0,61.30718954248366,0.22641187027044068,62.66717929001666,0.36669844086938086
mamba-130m-hf,exact_retrain,profession,810,79.17695473251028,0.0356389055055362,63.37448559670782,0.18858336193234032,57.99786617893614,0.2794117345618722
mamba-130m-hf,exact_retrain,race,962,83.26403326403326,0.10395010395010473,58.48925848925849,0.060015620497882546,69.12710727679543,0.17998424813775787
mamba-130m-hf,exact_retrain,religion,79,88.60759493670886,0.0,58.64978902953586,0.7308231255564881,73.27885488436682,1.2951295895937784
mamba-130m-hf,continued_retain,gender,255,81.56862745098039,0.588235294117645,61.96078431372549,1.4139416766525468,62.0638216070742,2.6463285137179446
mamba-130m-hf,continued_retain,profession,810,79.05349794238683,0.6183119012887548,63.49794238683128,0.1425556220221284,57.712238987959154,0.49182322531719247
mamba-130m-hf,continued_retain,race,962,83.76645876645877,0.030007810248947428,59.216909216909215,0.4201093434851746,68.32507783651235,0.7008846689929029
mamba-130m-hf,continued_retain,religion,79,88.39662447257385,0.9667881212987002,61.18143459915612,1.9335762425974041,68.6535277466218,4.157403447235113
mamba-130m-hf,sham,gender,255,81.50326797385621,0.11320593513521623,61.830065359477125,0.22641187027044068,62.219146482122255,0.2823489205725532
mamba-130m-hf,sham,profession,810,79.48559670781893,0.09429168096616551,63.16872427983539,0.0712778110110642,58.55113549763756,0.14363779227983406
mamba-130m-hf,sham,race,962,83.66250866250866,0.030007810248939223,58.83575883575884,0.2079002079002059,68.87807365977844,0.3488170614078207
mamba-130m-hf,sham,religion,79,88.60759493670886,0.0,59.49367088607595,0.0,71.78336804999199,0.0
mamba-130m-hf,counterfactual,gender,255,79.80392156862744,1.0375495337508243,60.78431372549019,0.0,62.59131103421761,0.8137643401967184
mamba-130m-hf,counterfactual,profession,810,78.49794238683127,0.7101001615941352,64.36213991769547,0.1885833619323372,55.95117614184829,0.7372318269512319
mamba-130m-hf,counterfactual,race,962,83.21205821205821,0.4958103957468514,59.04365904365905,0.45310799828905063,68.1637858872786,1.1185467795438793
mamba-130m-hf,counterfactual,religion,79,87.9746835443038,0.0,64.55696202531645,1.2658227848101227,62.36180099343055,2.2272071783367977
mamba-130m-hf,gradient_ascent,gender,255,81.43790849673202,0.2995147513043053,61.568627450980394,0.39215686274509665,62.59694989106753,0.8662131838153537
mamba-130m-hf,gradient_ascent,profession,810,79.46502057613169,0.128497901201613,63.16872427983539,0.1425556220221325,58.53579230808312,0.1749838375918241
mamba-130m-hf,gradient_ascent,race,962,83.67983367983368,0.0,58.76645876645877,0.42010934348517376,69.00831744906588,0.7030935998036634
mamba-130m-hf,gradient_ascent,religion,79,88.60759493670886,0.0,59.915611814345986,0.7308231255564881,71.03562463280458,1.2951295895937702
mamba-130m-hf,npo,gender,255,81.50326797385621,0.22641187027044068,61.568627450980394,0.0,62.64564910931693,0.17402637871767374
mamba-130m-hf,npo,profession,810,79.46502057613169,0.15534638755701352,63.16872427983539,0.1425556220221325,58.53569069755627,0.13003544398930217
mamba-130m-hf,npo,race,962,83.6971586971587,0.030007810248939223,58.6971586971587,0.3935487419126998,69.13866929459445,0.6685280820249007
mamba-130m-hf,npo,religion,79,88.60759493670886,0.0,59.915611814345986,0.7308231255564881,71.03562463280458,1.2951295895937702
mamba-130m-hf,pcgu,gender,255,81.24183006535948,0.5990295026086044,61.30718954248366,0.22641187027044068,62.8712033833141,0.8187089211311416
mamba-130m-hf,pcgu,profession,810,79.11522633744856,0.21678299902989295,63.45679012345679,0.5381356720420613,57.82395976223137,1.001847539841349
mamba-130m-hf,pcgu,race,962,83.45460845460845,0.0793932033083084,58.662508662508664,0.6351456264665069,68.99545875637352,0.9995877855472342
mamba-130m-hf,pcgu,religion,79,88.60759493670886,0.0,60.33755274261603,0.7308231255564881,70.28788121561716,1.2951295895937702
