model,method,seed,forget_oracle_kl,utility_nll,retain_nll,optimization_seconds,peak_vram_bytes,examples_processed,tokens_processed
mamba-130m-hf,sham,11,1.936580551167329,4.301064682006836,3.2610902968380184,1.4721416272222996,6420068864,0,0
mamba-130m-hf,sham,29,1.8281269911676645,4.361141836643219,3.4246837401555643,0.7906744685024023,10552400384,0,0
mamba-130m-hf,sham,47,1.783219085385402,4.422127890586853,3.7612647910912833,0.7700268439948559,6420068864,0,0
mamba-130m-hf,counterfactual,11,1.6980085136989753,4.151213383674621,2.459197163167927,3.8482587169855833,8331773440,48,68
mamba-130m-hf,counterfactual,29,1.5578102792302768,4.279844975471496,2.836979460385111,3.7522966656833887,12464104960,48,68
mamba-130m-hf,counterfactual,47,1.9004447037974994,4.359305667877197,2.4362577702850103,3.7572537157684565,8331773440,48,68
mamba-130m-hf,gradient_ascent,11,1.830815503994624,4.302667248249054,3.1799003937178187,2.446770053356886,9568546304,48,60
mamba-130m-hf,gradient_ascent,29,1.8253915303697188,4.361986804008484,3.4171257416407266,2.473065961152315,13700877824,48,60
mamba-130m-hf,gradient_ascent,47,1.7342928430686395,4.435911560058594,3.7675122829775014,2.466325916349888,9568546304,48,60
mamba-130m-hf,npo,11,1.8213016223162413,4.307662749290467,3.1955816940300994,2.518382905051112,10601631232,48,60
mamba-130m-hf,npo,29,1.8292026879886787,4.363072848320007,3.4250961248245506,2.5107489936053753,14733962752,48,60
mamba-130m-hf,npo,47,1.7350013280908267,4.440638256072998,3.779238329993354,2.4819998759776354,10601631232,48,60
mamba-130m-hf,pcgu,11,1.8132028579711914,4.278520178794861,3.252537805173132,4.447511218488216,10991066624,48,84
mamba-130m-hf,pcgu,29,1.7667938005179167,4.3796918272972105,3.4358921158644886,4.524573042988777,15484876800,48,84
mamba-130m-hf,pcgu,47,1.738072294741869,4.446589672565461,3.7873632796108723,4.505914891138673,11352545280,48,84
